2,11,14,5,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,15,14,11,14,4,16,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,15,11,14,5,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,15,14,9,11,5,4,16,-1,-1,-1,-1,-1,-1,-1,-1
11,14,5,4,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,15,11,14,11,5,10,4,16,-1,-1,-1,-1,-1,-1,-1
2,1,15,5,10,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,14,11,5,10,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,11,14,5,10,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,15,11,14,5,10,4,16,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,5,10,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,15,11,14,5,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,15,1,11,14,5,16,10,4,-1,-1,-1,-1,-1,-1,-1,-1
2,1,15,5,10,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,15,14,11,5,10,16,4,-1,-1,-1,-1,-1,-1,-1,-1
2,1,15,14,11,5,10,16,4,-1,-1,-1,-1,-1,-1,-1,-1
2,1,15,11,14,5,10,16,4,-1,-1,-1,-1,-1,-1,-1,-1
1,15,2,15,5,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,15,11,14,5,10,16,4,-1,-1,-1,-1,-1,-1,-1,-1
2,1,15,14,11,5,10,16,4,-1,-1,-1,-1,-1,-1,-1,-1
15,1,5,10,4,16,14,11,1,15,14,11,-1,-1,-1,-1,-1
2,1,15,11,14,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,5,10,4,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
